,name,V,P,Distance,countPeople,Price
34,4925034.591368227,1.5,449.0,22837.0,3.0,5100000.0
35,2378367.9247015608,2.0,234.0,50390.0,0.0,2210000.0
36,6208367.924701561,1.5,129.0,0.0,0.0,8800000.0
37,1722551.8870523416,1.6,106.0,170000.0,3.0,120000.0
38,2841034.5913682277,0.0,218.0,37800.0,0.0,3099000.0
39,4071701.2580348942,0.0,551.0,16000.0,1.0,5390000.0
40,3831701.2580348942,2.5,170.0,180000.0,4.0,200000.0
41,4571701.258034894,2.0,249.0,0.0,0.0,4950000.0
42,1332367.5913682277,1.0,70.0,115000.0,3.0,587000.0
43,2527701.2580348942,2.5,128.0,0.0,0.0,2160000.0
44,3021034.5913682277,1.5,168.0,7.0,1.0,2539000.0
45,1253367.924701561,2.0,117.0,150000.0,2.0,135000.0
46,1443367.924701561,1.6,109.0,228329.0,4.0,650000.0
47,5038367.924701561,3.0,340.0,59203.0,1.0,9500000.0
48,2308367.9247015608,1.5,180.0,558.0,0.0,1850000.0
49,2445034.5913682277,2.2,181.0,115269.0,1.0,2790000.0
50,2671701.2580348942,1.5,136.0,26000.0,1.0,3800000.0
51,1335034.5913682277,3.0,141.0,250000.0,3.0,230000.0
52,1741701.2580348942,1.5,149.0,98401.0,1.0,850000.0
53,9508034.591368228,4.0,550.0,10000.0,0.0,21000000.0
54,4491367.924701561,0.0,578.0,31900.0,1.0,4749000.0
55,5158034.591368227,1.5,150.0,23158.0,1.0,5250000.0
56,1215034.5913682277,1.8,100.0,308736.0,4.0,170000.0
57,12108367.591368228,7.0,500.0,100.0,1.0,9999999.0
58,1160201.2580348945,1.2,40.0,100000.0,1.0,55500.0
59,3201701.2580348942,2.0,144.0,0.0,0.0,2990000.0
60,2825034.5913682277,0.0,163.0,2000.0,1.0,2150000.0
61,3276334.5913682277,2.0,238.0,0.0,0.0,4803900.0
62,1384701.2580348945,2.8,84.0,140000.0,3.0,330000.0
63,2028367.924701561,2.0,150.0,223000.0,4.0,650000.0
64,2001701.2580348942,2.0,150.0,193000.0,2.0,1890000.0
65,1426701.2580348942,2.7,193.0,220000.0,4.0,530000.0
